Country/Territory,Forecast (IMF),Year (IMF),Estimate (WB),Year (WB),Estimate (UN),Year (UN)
Lesotho,2395.0,2024.0,2046.0,2023,2287,2022
Eritrea,nan,nan,2383.0,2022,-1,-1
Zanzibar,nan,nan,2361.0,2022,-1,-1
Seychelles,2203.0,2024.0,2141.0,2023,1994,2022
Guinea-Bissau,2151.0,2024.0,1966.0,2023,1574,2022
Antigua and Barbuda,2127.0,2024.0,2033.0,2023,1770,2022
San Marino,2033.0,2024.0,1855.0,2021,1780,2022
Timor-Leste,1992.0,2024.0,2243.0,2023,3204,2022
Solomon Islands,1707.0,2024.0,1631.0,2023,1597,2022
Sint Maarten,nan,1623.0,2023.0,1572,2022,-1
Comoros,1422.0,2024.0,1352.0,2023,1246,2022
Grenada,1406.0,2024.0,1320.0,2023,1192,2022
Turks and Caicos Islands,nan,1402.0,2023.0,1138,2022,-1
Vanuatu,1289.0,2024.0,1126.0,2023,985,2022
Saint Kitts and Nevis,1134.0,2024.0,1077.0,2023,979,2022
Saint Vincent and the Grenadines,1128.0,2024.0,1066.0,2023,946,2022
Samoa,1024.0,2024.0,934.0,2023,857,2022
São Tomé and Príncipe,751.0,2024.0,603.0,2023,546,2022
Dominica,708.0,2024.0,654.0,2023,612,2022
Tonga,581.0,2024.0,500.0,2022,488,2022
Micronesia,484.0,2024.0,460.0,2023,427,2022
Kiribati,311.0,2024.0,279.0,2023,223,2022
Palau,308.0,2024.0,263.0,2023,225,2022
Marshall Islands,305.0,2024.0,284.0,2023,279,2022
Nauru,161.0,2024.0,154.0,2023,147,2022
Tuvalu,66.0,2024.0,62.0,2023,59,2022
